"DGUID","srpop21","srpop26","srpop31"
"2021S051235250297",150,190,230
"2021S051235250298",115,185,235
"2021S051235250299",165,205,245
"2021S051235250300",215,280,350
"2021S051235250302",145,170,190
"2021S051235250303",200,240,270
"2021S051235250304",135,170,215
"2021S051235250305",125,170,210
"2021S051235250306",70,105,145
"2021S051235250307",155,205,280
"2021S051235250308",125,180,255
"2021S051235250309",70,100,130
"2021S051235250310",85,115,145
"2021S051235250311",85,115,160
"2021S051235250312",85,120,155
"2021S051235250313",215,295,345
"2021S051235250315",650,780,905
"2021S051235250316",120,155,200
"2021S051235250317",80,115,150
"2021S051235250318",20,30,45
"2021S051235250319",55,85,115
"2021S051235250320",105,130,170
"2021S051235250321",60,95,120
"2021S051235250322",75,120,170
"2021S051235250323",95,145,195
"2021S051235250324",95,135,170
"2021S051235250326",35,55,80
"2021S051235250327",50,85,120
"2021S051235250328",70,95,130
"2021S051235250329",95,120,165
"2021S051235250330",80,100,135
"2021S051235250331",40,55,90
"2021S051235250332",110,150,195
"2021S051235250333",105,165,230
"2021S051235250334",110,145,200
"2021S051235250335",70,125,175
"2021S051235250336",95,145,190
"2021S051235250337",165,230,295
"2021S051235250338",140,205,250
"2021S051235250339",100,150,195
"2021S051235250340",50,70,95
"2021S051235250341",150,225,290
"2021S051235250342",70,105,140
"2021S051235250343",95,145,195
"2021S051235250344",90,140,170
"2021S051235250345",80,115,140
"2021S051235250346",55,90,130
"2021S051235250347",100,135,175
"2021S051235250348",120,170,240
"2021S051235250349",75,115,155
"2021S051235250350",130,185,230
"2021S051235250351",155,190,220
"2021S051235250352",95,140,180
"2021S051235250353",135,185,230
"2021S051235250354",135,195,240
"2021S051235250355",135,185,230
"2021S051235250356",130,180,245
"2021S051235250357",80,120,155
"2021S051235250358",115,165,215
"2021S051235250359",85,120,150
"2021S051235250360",80,110,140
"2021S051235250361",100,140,170
"2021S051235250362",95,130,170
"2021S051235250363",50,75,100
"2021S051235250364",130,185,235
"2021S051235250365",145,200,250
"2021S051235250366",110,160,215
"2021S051235250367",70,105,135
"2021S051235250368",85,115,160
"2021S051235250369",80,115,155
"2021S051235250370",50,80,120
"2021S051235250371",110,140,175
"2021S051235250372",85,125,185
"2021S051235250373",90,125,155
"2021S051235250374",70,105,150
"2021S051235250375",85,130,180
"2021S051235250376",70,100,145
"2021S051235250377",100,135,170
"2021S051235250378",70,95,145
"2021S051235250379",115,145,170
"2021S051235250380",85,130,175
"2021S051235250381",85,115,160
"2021S051235250382",80,120,160
"2021S051235250383",100,135,170
"2021S051235250384",50,70,95
"2021S051235250385",90,125,160
"2021S051235250387",105,145,180
"2021S051235250388",85,115,155
"2021S051235250389",70,95,115
